1619k  110.178.52.111:8085
1609k  110.178.52.91:8082
1602k  110.178.52.91:8084
1587k  110.178.52.75:8084
1565k  110.178.52.91:8083
1530k  110.178.52.111:8082
1525k  110.178.52.111:8083
1520k  110.178.52.111:8084
1465k  110.178.52.91:8085
1439k  223.10.28.220:8084
1435k  223.10.12.38:8084
1432k  223.10.28.220:8082
1383k  223.10.28.220:8083
1298k  110.178.52.75:8085
1259k  110.179.81.151:8082
1098k  223.10.12.38:8083
1095k  223.10.12.38:8082
1042k  113.26.167.187:8083
1041k  113.26.167.187:8082
1039k  113.26.167.187:8084
1036k  110.179.81.151:8083
1024k  1.70.35.75:4022
717k  110.178.52.75:8082
487k  110.179.80.155:8082
192k  110.178.52.75:8083
